trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,thisRow.t,notes,trial.started,num_distr,fixation.started,target.started,mouse.started,trial.stopped,mouse.x,mouse.y,mouse.leftButton,mouse.midButton,mouse.rightButton,mouse.time,mouse.clicked_name,participant,session,date,expName,psychopyVersion,frameRate,expStart,
113,0,113,0,282.37368749966845,,282.2677531996742,10,282.37368749966845,282.37368749966845,0.07010379992425442,284.7934115999378,[-0.11125],[0.31],[1],[0],[0],[2.4580632001161575],['target'],051461,001,2024-10-10_14h55.34.282,untitled,2024.1.5,None,2024-10-10 14h55.40.168871 +0530,
114,0,114,0,284.9397509996779,,284.815643500071,10,284.9397509996779,284.9397509996779,0.10126080038025975,286.6249502999708,[0.31875],[0.165],[1],[0],[0],[1.7113848999142647],['target'],051461,001,2024-10-10_14h55.34.282,untitled,2024.1.5,None,2024-10-10 14h55.40.168871 +0530,
115,0,115,0,286.7565040998161,,286.63287079986185,10,286.7565040998161,286.7565040998161,0.08240369986742735,290.37771779997274,[-0.4425],[-0.47],[1],[0],[0],[3.6626126002520323],['target'],051461,001,2024-10-10_14h55.34.282,untitled,2024.1.5,None,2024-10-10 14h55.40.168871 +0530,
116,0,116,0,290.50496429996565,,290.3982144999318,10,290.50496429996565,290.50496429996565,0.07797039998695254,293.028298499994,[0.03375],[-0.15375],[1],[0],[0],[2.5544360000640154],['target'],051461,001,2024-10-10_14h55.34.282,untitled,2024.1.5,None,2024-10-10 14h55.40.168871 +0530,
117,0,117,0,293.1210229001008,,293.0500229001045,5,293.1210229001008,293.1210229001008,0.042429099790751934,294.97708939993754,[0.11125],[-0.20625],[1],[0],[0],[1.8875306001864374],['target'],051461,001,2024-10-10_14h55.34.282,untitled,2024.1.5,None,2024-10-10 14h55.40.168871 +0530,
118,0,118,0,295.0707364999689,,294.9908594000153,5,295.0707364999689,295.0707364999689,0.06055449973791838,297.35697179986164,[-0.395],[-0.1375],[1],[0],[0],[2.307862800080329],['target'],051461,001,2024-10-10_14h55.34.282,untitled,2024.1.5,None,2024-10-10 14h55.40.168871 +0530,
119,0,119,0,297.4699082998559,,297.3706656000577,10,297.4699082998559,297.4699082998559,0.07479840004816651,298.805122199934,[-0.40625],[-0.13625],[1],[0],[0],[1.3634757003746927],['target'],051461,001,2024-10-10_14h55.34.282,untitled,2024.1.5,None,2024-10-10 14h55.40.168871 +0530,
120,0,120,0,298.8698557000607,,298.81279469979927,5,298.8698557000607,298.8698557000607,0.03999450011178851,301.1898252000101,[0.22],[-0.25125],[1],[0],[0],[2.338046499993652],['target'],051461,001,2024-10-10_14h55.34.282,untitled,2024.1.5,None,2024-10-10 14h55.40.168871 +0530,
121,0,121,0,301.3358471998945,,301.2038782997988,10,301.3358471998945,301.3358471998945,0.10042480006814003,303.1892236000858,[0.39625],[-0.3175],[1],[0],[0],[1.8876706999726593],['target'],051461,001,2024-10-10_14h55.34.282,untitled,2024.1.5,None,2024-10-10 14h55.40.168871 +0530,
122,0,122,0,303.2856867997907,,303.20285389991477,5,303.2856867997907,303.2856867997907,0.062057599890977144,304.7723158998415,[0.395],[-0.0175],[1],[0],[0],[1.5099987001158297],['target'],051461,001,2024-10-10_14h55.34.282,untitled,2024.1.5,None,2024-10-10 14h55.40.168871 +0530,
