reward_today,future_reward,delay,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,thisRow.t,notes,trial.started,fixation.started,text.started,key_resp.started,fixation.stopped,trial.stopped,key_resp.keys,key_resp.rt,key_resp.duration,participant,session,date,expName,psychopyVersion,frameRate,expStart,
27,50,21,3,1,22,2,183.7048205002211,,183.68082090001553,183.7048205002211,184.69366560014896,184.69366560014896,184.70968790003099,192.9116028000135,l,8.206558300182223,None,458358,001,2024-11-20_22h04.39.878,delay discounting exp,2024.1.5,None,2024-11-20 22h04.52.798791 +0530,
40,55,62,3,2,23,3,192.9424311001785,,192.9139668000862,192.9424311001785,193.92547400016338,193.92547400016338,193.94214020017534,199.55914060003124,t,5.630075599998236,None,458358,001,2024-11-20_22h04.39.878,delay discounting exp,2024.1.5,None,2024-11-20 22h04.52.798791 +0530,
15,35,13,3,3,24,1,199.58373970002867,,199.56090900022537,199.58373970002867,200.5736760001164,200.5736760001164,200.59000300010666,206.1069598000031,l,5.531609500059858,None,458358,001,2024-11-20_22h04.39.878,delay discounting exp,2024.1.5,None,2024-11-20 22h04.52.798791 +0530,
78,80,162,3,4,25,6,206.12839110009372,,206.1081003001891,206.12839110009372,207.12226820015348,207.12226820015348,207.13760230015032,210.48751350003295,t,3.3496602000668645,None,458358,001,2024-11-20_22h04.39.878,delay discounting exp,2024.1.5,None,2024-11-20 22h04.52.798791 +0530,
49,60,89,3,5,26,4,210.50453300005756,,210.48836670001037,210.50453300005756,211.50345800002106,211.50345800002106,211.51973120006733,214.73985950020142,t,3.2308662000577897,None,458358,001,2024-11-20_22h04.39.878,delay discounting exp,2024.1.5,None,2024-11-20 22h04.52.798791 +0530,
11,30,7,3,6,27,0,214.77019200008363,,214.74213390005752,214.77019200008363,215.7568868000526,215.7568868000526,215.775814200053,218.88732270011678,l,3.1261601999867707,None,458358,001,2024-11-20_22h04.39.878,delay discounting exp,2024.1.5,None,2024-11-20 22h04.52.798791 +0530,
40,55,62,4,0,28,3,218.91012190002948,,218.8887361001689,218.91012190002948,219.90106040006503,219.90106040006503,219.91786290006712,224.93434450007044,t,5.028574199881405,None,458358,001,2024-11-20_22h04.39.878,delay discounting exp,2024.1.5,None,2024-11-20 22h04.52.798791 +0530,
15,35,13,4,1,29,1,224.95256240013987,,224.93545180000365,224.95256240013987,225.95209730020724,225.95209730020724,225.96873930003494,230.5174304000102,l,4.554254400078207,None,458358,001,2024-11-20_22h04.39.878,delay discounting exp,2024.1.5,None,2024-11-20 22h04.52.798791 +0530,
78,80,162,4,2,30,6,230.54245200008154,,230.51914720004424,230.54245200008154,231.53280100016855,231.53280100016855,231.5483775001485,234.65047640004195,t,3.10892860009335,None,458358,001,2024-11-20_22h04.39.878,delay discounting exp,2024.1.5,None,2024-11-20 22h04.52.798791 +0530,
11,30,7,4,3,31,0,234.6799359000288,,234.6523122000508,234.6799359000288,235.66515400004573,235.66515400004573,235.68098490010016,238.40950030018575,l,2.739345599897206,None,458358,001,2024-11-20_22h04.39.878,delay discounting exp,2024.1.5,None,2024-11-20 22h04.52.798791 +0530,
